Lp.,Spółka,Dzień zawieszenia,Dzień wykluczenia,Powód wykluczenia
1,ELEKTRIM,2008-01-11,2008-01-18,upadłość
2,JCAUTO,2008-02-28,2008-03-17,połączenie z innym podmiotem
3,PROKOM,2008-03-31,2008-04-10,połączenie z innym podmiotem
4,INTERIA.PL,2008-02-12,2008-05-06,przymusowy wykup
5,BACA,2008-05-26,2008-05-29,przymusowy wykup
6,OPOCZNO,2008-05-16,2008-06-05,połączenie z innym podmiotem
7,TOORA,,2008-06-20,upadłość
8,LDASA,,2008-06-27,upadłość
9,PRATERM,2008-05-16,2008-08-21,przymusowy wykup
10,ABG,2008-09-30,2008-10-15,połączenie z innym podmiotem
